pass,offered_fps_agg,impl,streams,cpu_ms,cpu_pct,delivered,lost,corrupt,fps,loss_pct,jitter_ms
9,120,asio_mux,2,54.2,1.1,600,0,0,120.0,0.0000,0.1615
9,240,asio_mux,4,90.2,1.8,1200,0,0,240.0,0.0000,0.2229
9,480,asio_mux,8,198.8,4.0,2400,0,0,480.0,0.0000,0.4001
9,960,asio_mux,16,400.0,8.0,4800,0,0,960.3,0.0000,0.4774
9,1920,asio_mux,32,801.5,16.6,9541,0,0,1968.8,0.0000,0.9587
9,3840,asio_mux,64,1453.8,32.8,17850,679,0,4016.9,3.6645,1.4175
9,7680,asio_mux,128,2415.7,69.5,28399,5335,0,8138.6,15.8149,1.7491
10,60,asio_mux,1,33.7,0.7,300,0,0,60.0,0.0000,0.2181
10,120,asio_mux,2,54.0,1.1,600,0,0,120.0,0.0000,0.1914
10,240,asio_mux,4,92.7,1.9,1200,0,0,240.0,0.0000,0.2247
10,480,asio_mux,8,189.0,3.8,2400,0,0,480.1,0.0000,0.2698
10,960,asio_mux,16,398.9,8.0,4800,0,0,960.4,0.0000,0.5411
10,1920,asio_mux,32,764.7,15.8,9543,0,0,1967.9,0.0000,0.9287
10,3840,asio_mux,64,1496.6,33.7,17910,644,0,4015.8,3.4709,1.4595
10,7680,asio_mux,128,2491.8,70.1,28937,5118,0,8109.5,15.0286,1.7209
