pass,offered_fps_agg,impl,streams,cpu_ms,cpu_pct,delivered,lost,corrupt,fps,loss_pct,jitter_ms
9,120,asio_shard,2,71.6,1.4,600,0,0,120.0,0.0000,0.1272
9,240,asio_shard,4,112.5,2.3,1200,0,0,240.0,0.0000,0.1651
9,480,asio_shard,8,224.9,4.5,2400,0,0,480.1,0.0000,0.3051
9,960,asio_shard,16,486.4,9.8,4800,0,0,960.0,0.0000,0.4798
9,1920,asio_shard,32,1013.6,20.9,9557,0,0,1960.4,0.0000,0.8937
9,3840,asio_shard,64,1958.8,44.0,17958,595,0,4024.7,3.2070,1.5424
9,7680,asio_shard,128,3253.6,91.8,29047,5026,0,8159.5,14.7507,1.9116
10,60,asio_shard,1,32.8,0.7,300,0,0,60.0,0.0000,0.1377
10,120,asio_shard,2,65.8,1.3,600,0,0,120.0,0.0000,0.1427
10,240,asio_shard,4,130.2,2.6,1200,0,0,240.0,0.0000,0.1775
10,480,asio_shard,8,236.1,4.7,2400,0,0,480.0,0.0000,0.3128
10,960,asio_shard,16,483.2,9.7,4800,0,0,960.2,0.0000,0.3600
10,1920,asio_shard,32,964.3,19.9,9550,0,0,1964.5,0.0000,0.9139
10,3840,asio_shard,64,1970.2,44.4,17897,637,0,4024.3,3.4369,1.5145
10,7680,asio_shard,128,3186.3,90.3,28906,5011,0,8159.6,14.7743,1.9485
