pass,target_fps,offered_fps_real,impl,cpu_ms,cpu_pct,delivered,unique,lost,corrupt,duplicate,reordered,seconds,fps,loss_pct,jitter_ms
4,1000,1000.0,baseline,934.0,18.7,4998,4998,2,0,0,0,4.99817,999.766,0.04,0.260602
4,1050,1050.0,baseline,858.5,17.2,5247,5247,3,0,0,0,4.99865,1049.48,0.0571429,0.319801
4,1100,1099.9,baseline,968.2,19.4,5495,5495,5,0,0,0,4.99847,1099.14,0.0909091,0.362199
4,1150,1150.0,baseline,1004.2,20.1,5737,5737,13,0,0,0,4.99846,1147.55,0.226087,0.355073
4,1200,1200.0,baseline,963.9,19.3,5982,5982,18,0,0,0,4.99866,1196.52,0.3,0.285544
4,1250,1249.9,baseline,1027.9,20.6,6214,6214,36,0,0,0,5.00013,1242.57,0.576,0.329053
4,1300,1300.0,baseline,1029.3,20.6,6481,6481,19,0,0,0,4.99866,1296.35,0.292308,0.308266
4,1350,1350.0,baseline,1061.5,21.2,6706,6706,44,0,0,0,4.99869,1341.35,0.651852,0.343755
4,1400,1400.0,baseline,1084.2,21.7,6954,6954,46,0,0,0,4.99868,1390.97,0.657143,0.193247
4,1450,1450.0,baseline,1192.9,23.9,7062,7062,188,0,0,0,4.99886,1412.52,2.5931,0.351222
5,750,750.0,baseline,585.2,11.7,3750,3750,0,0,0,0,4.9952,750.521,0,0.218517
5,800,800.0,baseline,646.9,12.9,4000,4000,0,0,0,0,4.99848,800.044,0,0.30796
5,850,850.0,baseline,680.6,13.6,4249,4249,1,0,0,0,4.99842,849.869,0.0235294,0.243292
5,900,900.0,baseline,699.9,14.0,4500,4500,0,0,0,0,4.99812,900.139,0,0.340498
5,950,950.0,baseline,756.8,15.1,4750,4750,0,0,0,0,4.99847,950.09,0,0.258188
5,1000,1000.0,baseline,937.7,18.8,5000,5000,0,0,0,0,4.99873,1000.05,0,0.305431
5,1050,1050.0,baseline,906.2,18.1,5247,5247,3,0,0,0,4.99845,1049.53,0.0571429,0.349036
5,1100,1100.0,baseline,892.6,17.9,5494,5494,6,0,0,0,4.99821,1098.99,0.109091,0.229661
5,1150,1150.0,baseline,907.3,18.2,5738,5738,12,0,0,0,4.99824,1147.8,0.208696,0.31776
5,1200,1200.0,baseline,1011.4,20.2,5985,5985,15,0,0,0,4.9987,1197.11,0.25,0.326351
5,1250,1250.0,baseline,1094.5,21.9,6233,6233,17,0,0,0,4.99868,1246.73,0.272,0.34908
5,1300,1300.0,baseline,1023.5,20.5,6473,6473,27,0,0,1,4.99816,1294.88,0.415385,0.329414
5,1350,1350.0,baseline,1066.2,21.3,6698,6698,52,0,0,1,5.00095,1339.15,0.77037,0.35251
5,1400,1400.0,baseline,1088.1,21.8,6932,6932,68,0,0,1,4.99876,1386.54,0.971429,0.344978
