pass,offered_fps_agg,impl,streams,cpu_ms,cpu_pct,delivered,lost,corrupt,fps,loss_pct,jitter_ms
8,7680,baseline_mt,128,4398.9,88.1,33906,0,0,7678.3,0.0000,0.8939
9,60,baseline_mt,1,28.0,0.6,300,0,0,60.0,0.0000,0.1863
9,120,baseline_mt,2,53.9,1.1,600,0,0,120.0,0.0000,0.1829
9,240,baseline_mt,4,100.4,2.0,1200,0,0,240.0,0.0000,0.1947
9,480,baseline_mt,8,213.3,4.3,2400,0,0,480.0,0.0000,0.2793
9,960,baseline_mt,16,481.7,9.7,4800,0,0,960.0,0.0000,0.4883
9,1920,baseline_mt,32,1064.7,21.4,9576,0,0,1920.2,0.0000,0.4944
9,3840,baseline_mt,64,2250.3,45.1,18484,0,0,3840.2,0.0000,0.6617
9,7680,baseline_mt,128,4512.6,90.5,33968,0,0,7680.6,0.0000,0.8782
10,60,baseline_mt,1,29.7,0.6,300,0,0,60.0,0.0000,0.2361
10,120,baseline_mt,2,70.3,1.4,600,0,0,120.0,0.0000,0.2669
10,240,baseline_mt,4,103.1,2.1,1200,0,0,240.0,0.0000,0.2306
10,480,baseline_mt,8,197.7,4.0,2400,0,0,480.1,0.0000,0.3480
10,960,baseline_mt,16,462.1,9.3,4800,0,0,960.2,0.0000,0.4857
10,1920,baseline_mt,32,1010.5,20.3,9579,0,0,1920.2,0.0000,0.5059
10,3840,baseline_mt,64,2277.4,45.7,18565,0,0,3840.6,0.0000,0.5986
10,7680,baseline_mt,128,4393.1,88.0,34056,0,0,7679.4,0.0000,0.9108
