pass,offered_fps_agg,impl,streams,cpu_ms,cpu_pct,delivered,lost,corrupt,fps,loss_pct,jitter_ms
9,120,asio_shard,2,75.0,1.5,600,0,0,120.0,0.0000,0.2777
9,240,asio_shard,4,125.8,2.5,1200,0,0,240.0,0.0000,0.2896
9,480,asio_shard,8,252.2,5.1,2400,0,0,480.1,0.0000,0.3750
9,960,asio_shard,16,504.1,10.1,4800,0,0,960.2,0.0000,0.6559
9,1920,asio_shard,32,1023.5,21.0,9560,0,0,1958.5,0.0000,0.8797
9,3840,asio_shard,64,1922.6,43.3,18538,0,0,4159.1,0.0000,2.3166
9,7680,asio_shard,128,3429.9,97.5,33951,1,0,9621.7,0.0029,4.5140
10,60,asio_shard,1,37.4,0.8,300,0,0,60.0,0.0000,0.2153
10,120,asio_shard,2,72.0,1.4,600,0,0,120.0,0.0000,0.2105
10,240,asio_shard,4,113.1,2.3,1200,0,0,240.0,0.0000,0.2034
10,480,asio_shard,8,224.3,4.5,2400,0,0,480.0,0.0000,0.3388
10,960,asio_shard,16,518.3,10.4,4800,0,0,960.3,0.0000,0.5082
10,1920,asio_shard,32,1037.4,21.3,9558,0,0,1960.7,0.0000,0.9515
10,3840,asio_shard,64,2009.5,45.2,18528,0,0,4157.5,0.0000,2.3559
10,7680,asio_shard,128,3574.1,101.1,33948,0,0,9569.7,0.0000,4.4472
