pass,offered_fps_agg,impl,streams,cpu_ms,cpu_pct,delivered,lost,corrupt,fps,loss_pct,jitter_ms
9,60,baseline_mt,1,30.9,0.6,300,0,0,60.0,0.0000,0.2293
9,120,baseline_mt,2,57.9,1.2,600,0,0,120.0,0.0000,0.2013
9,240,baseline_mt,4,101.8,2.0,1200,0,0,240.0,0.0000,0.2072
9,480,baseline_mt,8,188.7,3.8,2400,0,0,480.0,0.0000,0.2752
9,960,baseline_mt,16,453.4,9.1,4800,0,0,960.1,0.0000,0.5016
9,1920,baseline_mt,32,1024.8,20.6,9574,0,0,1920.5,0.0000,0.4742
9,3840,baseline_mt,64,2236.4,44.8,18513,0,0,3839.6,0.0000,0.5537
9,7680,baseline_mt,128,4312.7,86.4,33885,0,0,7677.0,0.0000,0.8733
10,60,baseline_mt,1,28.0,0.6,300,0,0,60.0,0.0000,0.1744
10,120,baseline_mt,2,54.8,1.1,600,0,0,120.0,0.0000,0.1704
10,240,baseline_mt,4,104.9,2.1,1200,0,0,240.0,0.0000,0.2149
10,480,baseline_mt,8,201.5,4.0,2400,0,0,480.0,0.0000,0.3049
10,960,baseline_mt,16,478.0,9.6,4800,0,0,960.0,0.0000,0.4514
10,1920,baseline_mt,32,1016.7,20.4,9565,0,0,1920.1,0.0000,0.4618
10,3840,baseline_mt,64,2264.0,45.4,18504,0,0,3840.0,0.0000,0.6035
10,7680,baseline_mt,128,4430.6,88.8,33824,0,0,7678.8,0.0000,0.9203
