pass,target_fps,offered_fps_real,impl,cpu_ms,cpu_pct,delivered,unique,lost,corrupt,duplicate,reordered,seconds,fps,loss_pct,jitter_ms
4,1050,1050.0,asio,1057.6,21.2,5243,5243,7,0,0,0,4.99863,1048.69,0.133333,0.387323
4,1100,1100.0,asio,1097.6,22.0,5463,5463,37,0,0,0,4.99876,1092.67,0.672727,0.385034
4,1150,1149.9,asio,1067.8,21.4,5726,5726,24,0,0,0,4.99846,1145.35,0.417391,0.268339
4,1200,1200.0,asio,1058.9,21.2,5962,5962,38,0,0,0,4.99795,1192.69,0.633333,0.304694
4,1250,1250.0,asio,1187.4,23.8,6158,6158,92,0,0,0,4.99827,1231.83,1.472,0.476052
4,1300,1300.0,asio,1086.6,21.7,6477,6477,23,0,0,0,4.99652,1296.1,0.353846,0.253226
4,1350,1350.0,asio,1278.0,25.6,6563,6563,187,0,0,0,5.00065,1312.23,2.77037,0.36859
4,1400,1399.9,asio,1189.2,23.8,6818,6818,182,0,0,0,4.99888,1363.7,2.6,0.365438
4,1450,1450.0,asio,1295.4,25.9,6997,6997,253,0,0,0,4.99859,1399.59,3.48966,0.28445
5,750,750.0,asio,683.7,13.7,3750,3750,0,0,0,0,4.99807,750.09,0,0.2082
5,800,800.0,asio,713.7,14.3,4000,4000,0,0,0,0,4.99829,800.073,0,0.253542
5,850,850.0,asio,774.7,15.5,4250,4250,0,0,0,0,4.99617,850.452,0,0.303911
5,900,900.0,asio,833.8,16.7,4500,4500,0,0,0,0,4.99823,900.119,0,0.361242
5,950,950.0,asio,857.7,17.2,4750,4750,0,0,0,0,4.99833,950.117,0,0.325523
5,1000,1000.0,asio,923.2,18.5,4999,4999,1,0,0,0,4.99835,999.929,0.02,0.266827
5,1050,1050.0,asio,949.7,19.0,5250,5250,0,0,0,0,5.00106,1049.58,0,0.28716
5,1100,1100.0,asio,1001.9,20.0,5497,5497,3,0,0,0,4.99857,1099.51,0.0545455,0.409029
5,1150,1150.0,asio,1042.2,20.8,5732,5732,18,0,0,0,4.99947,1146.32,0.313043,0.39139
5,1200,1200.0,asio,1101.4,22.0,5962,5962,38,0,0,0,4.99852,1192.55,0.633333,0.205074
5,1250,1250.0,asio,1269.0,25.4,6191,6191,59,0,0,0,4.99834,1238.41,0.944,0.319159
5,1300,1300.0,asio,1140.0,22.8,6451,6451,49,0,0,0,4.99835,1290.43,0.753846,0.310218
5,1350,1350.0,asio,1157.6,23.2,6659,6659,91,0,0,0,4.99957,1331.71,1.34815,0.346884
5,1400,1400.0,asio,1165.4,23.3,6864,6864,136,0,0,0,4.99863,1372.98,1.94286,0.309912
5,1450,1449.9,asio,1204.1,24.1,7046,7046,204,0,0,0,4.99891,1409.31,2.81379,0.29694
6,750,750.0,asio,655.0,13.1,3750,3750,0,0,0,0,4.99801,750.098,0,0.164844
6,800,800.0,asio,698.4,14.0,4000,4000,0,0,0,0,4.99806,800.111,0,0.325871
6,850,850.0,asio,740.0,14.8,4250,4250,0,0,0,0,4.99796,850.147,0,0.235066
6,900,900.0,asio,846.6,16.9,4500,4500,0,0,0,0,4.99863,900.046,0,0.252999
6,950,950.0,asio,869.9,17.4,4749,4749,1,0,0,0,4.99855,949.876,0.0210526,0.186787
6,1000,1000.0,asio,907.9,18.2,4994,4994,6,0,0,0,4.9984,998.92,0.12,0.255308
6,1050,1050.0,asio,905.6,18.1,5246,5246,4,0,0,0,4.99758,1049.51,0.0761905,0.22019
6,1100,1100.0,asio,957.3,19.1,5498,5498,2,0,0,0,5.00226,1098.9,0.0363636,0.304001
6,1150,1150.0,asio,990.7,19.8,5737,5737,13,0,0,0,4.99892,1147.45,0.226087,0.335785
6,1200,1200.0,asio,1042.7,20.9,5973,5973,27,0,0,0,4.99857,1194.74,0.45,0.267236
6,1250,1250.0,asio,1192.6,23.9,6184,6184,66,0,0,0,4.99861,1236.94,1.056,0.408833
6,1300,1300.0,asio,1233.8,24.7,6372,6372,128,0,0,0,4.99917,1274.41,1.96923,0.37441
6,1350,1350.0,asio,1426.0,28.5,6599,6599,151,0,0,0,5.00031,1319.52,2.23704,0.406451
6,1400,1400.0,asio,1276.2,25.5,6823,6823,177,0,0,0,5.00128,1364.05,2.52857,0.365323
6,1450,1449.9,asio,1339.0,26.8,6985,6985,265,0,0,0,4.99849,1397.22,3.65517,0.329738
7,750,750.0,asio,865.7,17.3,3750,3750,0,0,0,0,4.99813,750.08,0,0.421498
7,800,800.0,asio,698.3,14.0,4000,4000,0,0,0,0,4.99679,800.314,0,0.329533
7,850,850.0,asio,780.7,15.6,4250,4250,0,0,0,0,4.99824,850.099,0,0.279
7,900,900.0,asio,828.9,16.6,4500,4500,0,0,0,0,4.99802,900.156,0,0.344925
7,950,950.0,asio,834.7,16.7,4750,4750,0,0,0,0,4.99808,950.165,0,0.244771
7,1000,1000.0,asio,893.9,17.9,4993,4993,7,0,0,0,4.9983,998.739,0.14,0.338162
7,1050,1050.0,asio,893.6,17.9,5246,5246,4,0,0,0,4.99866,1049.28,0.0761905,0.275865
7,1100,1099.9,asio,1204.8,24.1,5480,5480,20,0,0,0,4.99893,1096.03,0.363636,0.510433
7,1150,1150.0,asio,988.5,19.8,5747,5747,3,0,0,0,4.99857,1149.53,0.0521739,0.24018
7,1200,1200.0,asio,1096.1,21.9,5954,5954,46,0,0,0,5.00134,1190.28,0.766667,0.432756
7,1250,1250.0,asio,1069.8,21.4,6222,6222,28,0,0,0,4.99856,1244.56,0.448,0.26565
7,1300,1300.0,asio,1193.4,23.9,6418,6418,82,0,0,0,4.99872,1283.73,1.26154,0.365852
7,1350,1350.0,asio,1141.8,22.8,6631,6631,119,0,0,0,4.99907,1326.25,1.76296,0.380883
7,1400,1399.9,asio,1488.0,29.8,6862,6862,138,0,0,0,4.99844,1372.63,1.97143,0.249293
7,1450,1450.0,asio,1358.5,27.2,6951,6951,299,0,0,0,4.99659,1390.95,4.12414,0.362421
8,750,750.0,asio,643.8,12.9,3750,3750,0,0,0,0,4.99809,750.086,0,0.213206
8,800,800.0,asio,714.3,14.3,4000,4000,0,0,0,0,4.99825,800.08,0,0.277325
8,850,850.0,asio,755.7,15.1,4250,4250,0,0,0,0,4.99711,850.292,0,0.241931
8,900,900.0,asio,829.2,16.6,4499,4499,1,0,0,0,4.99847,899.875,0.0222222,0.148069
8,950,950.0,asio,847.2,16.9,4750,4750,0,0,0,0,4.9982,950.142,0,0.234476
8,1000,1000.0,asio,892.1,17.8,4997,4997,3,0,0,0,4.99868,999.464,0.06,0.236939
8,1050,1050.0,asio,928.7,18.6,5249,5249,1,0,0,0,4.99823,1049.97,0.0190476,0.328398
8,1100,1100.0,asio,982.5,19.7,5487,5487,13,0,0,0,4.99903,1097.41,0.236364,0.270386
8,1150,1150.0,asio,1162.9,23.3,5708,5708,42,0,0,0,4.99792,1141.88,0.730435,0.370087
8,1200,1200.0,asio,1066.4,21.3,5955,5955,45,0,0,0,4.99868,1191.11,0.75,0.461084
8,1250,1250.0,asio,1148.4,23.0,6191,6191,59,0,0,0,4.99811,1238.47,0.944,0.326066
8,1300,1299.9,asio,1243.5,24.9,6466,6466,34,0,0,0,4.99879,1293.31,0.523077,0.16218
8,1350,1350.0,asio,1263.1,25.3,6550,6550,200,0,0,0,4.99804,1310.31,2.96296,0.37093
8,1400,1400.0,asio,1322.9,26.5,6782,6782,218,0,0,0,5.0012,1355.87,3.11429,0.375203
8,1450,1450.0,asio,1681.1,33.6,6902,6902,348,0,0,0,4.99858,1380.59,4.8,0.618673
9,750,750.0,asio,706.2,14.1,3750,3750,0,0,0,0,4.99798,750.102,0,0.209968
9,800,800.0,asio,710.9,14.2,4000,4000,0,0,0,0,4.99841,800.054,0,0.317631
9,850,850.0,asio,840.9,16.8,4250,4250,0,0,0,0,4.99816,850.112,0,0.365327
9,900,900.0,asio,835.9,16.7,4500,4500,0,0,0,0,4.9982,900.123,0,0.182023
9,950,950.0,asio,825.8,16.5,4750,4750,0,0,0,0,4.99828,950.127,0,0.219739
9,1000,1000.0,asio,874.6,17.5,4999,4999,1,0,0,0,4.99859,999.882,0.02,0.240296
9,1050,1050.0,asio,984.7,19.7,5244,5244,6,0,0,0,4.99872,1048.87,0.114286,0.268663
9,1100,1100.0,asio,1026.7,20.5,5492,5492,8,0,0,0,4.99808,1098.62,0.145455,0.379705
9,1150,1149.9,asio,1063.4,21.3,5739,5739,11,0,0,0,4.99863,1147.91,0.191304,0.134466
